3do,3do
_pc,
adam,
ags,
amiga,amiga
amiga1200,
amiga600,
amigacd32,
amstradcpc,amstradcpc
android,android
androidapps,
androidgames,
apple2,apple2
apple2gs,
arcade,
arcadia,arcadia
archimedes,
arduboy,arduboy
astrocade,
atari2600,atari2600
atari5200,atari5200
atari7800,atari7800
atari800,
atarijaguar,atarijaguar
atarijaguarcd,atarijaguarcd
atarilynx,atarilynx
atarist,atarist
atarixe,
atomiswave,atomiswave
auto-allgames,
auto-at2players,
auto-at4players,
auto-favorites,favorites
auto-lastplayed,recent
auto-neverplayed,unplayed
auto-verticalarcade,
bbcmicro,bbcmicro
c64,c64
cdimono1,cdimono1
cdtv,
chailove,
channelf,channelf
coco,
colecovision,colecovision
completed,
consolearcade,
cps,
cps1,cps1
cps2,cps2
cps3,cps3
crvision,
custom-collections,
daphne,
desktop,
doom,doom
dos,dos
dragon32,
dreamcast,dreamcast
easyrpg,
electron,
emulators,
epic,
famicom,
fba,
fbn,
fbneo,fbneo
fds,fds
flash,
fm7,
fmtowns,fmtowns
fpinball,
gamate,
gameandwatch,gameandwatch
gamecom,
gamegear,gamegear
gb,gb
gba,gba
gbah,
gbc,gbc
gbch,
gbh,
gc,gc
genesis,genesis
genh,
gmaster,
gx4000,
imageviewer,
intellivision,intellivision
j2me,j2me
kodi,
laserdisc,
lcdgames,
lowresnx,lowresnx
lutris,
lutro,
macintosh,
mame-advmame,
mame,mame
mark3,
mastersystem,mastersystem
megacd,segacd
megacdjp,
megadrive,genesis
megadrivejp,
megaduck,megaduck
mess,
model2,
model3,
moto,
msdos,dos
msu-md,genesismsu
msx,msx
msx1,
msx2,
msxturbor,
mugen,
multivision,
n3ds,n3ds
n64,n64
n64dd,
naomi,naomi
naomi2,
naomigd,
nds,nds
neogeo,neogeo
neogeocd,neogeocd
neogeocdjp,
nes,nes
nesh,
ngage,ngage
ngp,ngp
ngpc,ngpc
now-playing,
odyssey2,odyssey2
openbor,
oric,oric
palm,palm
pc,
pc88,pc88
pc98,pc98
pcarcade,
pce-cd,tg-cd
pcengine,tg16
pcenginecd,tg-cd
pcfx,pcfx
pico8,pico8
playdate,
plus4,plus4
pokemini,pokemini
ports,
ps2,ps2
ps3,ps3
ps4,
psp,psp
psvita,psvita
psx,psx
pv1000,
pygame,
quake,quake
samcoupe,
satellaview,satellaview
saturn,saturn
saturnjp,
screenshots,
scummvm,scummvm
scv,supercassette
sega32x,sega32x
sega32xjp,
sega32xna,
segacd,segacd
setup,
sfc,snes
sg-1000,sg-1000
sgb,
smd,
snes-msu1,snesmsu1
snes,snes
snesh,
snesna,
solarus,
spectravideo,
steam,steam
stv,
sufami,
supergrafx,supergrafx
supervision,supervision
supracan,
switch,switch
symbian,
tanodragon,
tg-cd,tg-cd
tg16,tg16
tg16cd,tg-cd
ti99,
tic80,tic80
to8,to8
tools,
triforce,
trs-80,
type-x,
uzebox,uzebox
vectrex,vectrex
vic20,vic20
videopac,videopac
vircon32,
virtualboy,virtualboy
vpinball,
vsmile,
wasm4,wasm4
wii,wii
wiiu,wiiu
windows,windows
windows3x,
windows9x,
wonderswan,wonderswan
wonderswancolor,wonderswancolor
x1,x1
x68000,x68000
xbox,xbox
xbox360,
xboxone,
zmachine,
zx81,zx81
zxnext,
zxspectrum,zxspectrum
,cannonball
,cassette
,cavestory
,chip8
,ebook
,elektor
,flashback
,moonlight
,ndsi
,pc60
,pet
,pico
,pspminis
,quake2
,rpgmaker
,ti83
,vc4000
,wiiware
,xcloud
,zeebo
